name,road_link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type,cost
,103,1000917,2000929,,1,12,1,1,1,1,12
,104,2000929,3000934,,1,5,1,1,1,1,5
,105,3000934,4000947,,1,13,1,1,1,1,13
,106,1000910,2000922,,1,12,1,1,1,1,12
,107,2000922,3000927,,1,5,1,1,1,1,5
,108,3000927,4000940,,1,13,1,1,1,1,13
,109,1000913,2000925,,1,12,1,1,1,1,12
,110,2000925,3000930,,1,5,1,1,1,1,5
,111,3000930,4000943,,1,13,1,1,1,1,13
,112,1000906,2000918,,1,12,1,1,1,1,12
,113,2000918,3000923,,1,5,1,1,1,1,5
,114,3000923,4000936,,1,13,1,1,1,1,13
,115,1000924,2000936,,1,12,1,1,1,1,12
,116,2000936,3000941,,1,5,1,1,1,1,5
,117,3000941,4000954,,1,13,1,1,1,1,13
,118,1000914,2000926,,1,12,1,1,1,1,12
,119,2000926,3000931,,1,5,1,1,1,1,5
,120,3000931,4000944,,1,13,1,1,1,1,13
,121,1000916,2000928,,1,12,1,1,1,1,12
,122,2000928,3000933,,1,5,1,1,1,1,5
,123,3000933,4000946,,1,13,1,1,1,1,13
,124,1001048,2001104,,1,16,1,1,1,1,16
,125,2001104,2001106,,1,2,1,1,1,1,2
,126,2001106,3001117,,1,11,1,1,1,1,11
,127,3001117,3001119,,1,2,1,1,1,1,2
,128,3001119,4001135,,1,16,1,1,1,1,16
,129,1000916,2000932,,1,16,1,1,1,1,16
,130,2000932,2000934,,1,2,1,1,1,1,2
,131,2000934,3000945,,1,11,1,1,1,1,11
,132,3000945,3000947,,1,2,1,1,1,1,2
,133,3000947,4001003,,1,16,1,1,1,1,16
,134,1000924,2000940,,1,16,1,1,1,1,16
,135,2000940,2000942,,1,2,1,1,1,1,2
,136,2000942,3000953,,1,11,1,1,1,1,11
,137,3000953,3000955,,1,2,1,1,1,1,2
,138,3000955,4001011,,1,16,1,1,1,1,16
,139,1000900,2000916,,1,16,1,1,1,1,16
,140,2000916,2000919,,1,3,1,1,1,1,3
,141,2000919,3000930,,1,11,1,1,1,1,11
,142,3000930,3000932,,1,2,1,1,1,1,2
,143,3000932,4000948,,1,16,1,1,1,1,16
,144,1000909,2000925,,1,16,1,1,1,1,16
,145,2000925,2000927,,1,2,1,1,1,1,2
,146,2000927,3000938,,1,11,1,1,1,1,11
,147,3000938,3000940,,1,2,1,1,1,1,2
,148,3000940,4000956,,1,16,1,1,1,1,16
,149,1000925,2000941,,1,16,1,1,1,1,16
,150,2000941,2000943,,1,2,1,1,1,1,2
,151,2000943,3000954,,1,11,1,1,1,1,11
,152,3000954,3000956,,1,2,1,1,1,1,2
,153,3000956,4001012,,1,16,1,1,1,1,16
,154,1000918,2000934,,1,16,1,1,1,1,16
,155,2000934,2000936,,1,2,1,1,1,1,2
,156,2000936,3000947,,1,11,1,1,1,1,11
,157,3000947,3000949,,1,2,1,1,1,1,2
,158,3000949,4001005,,1,16,1,1,1,1,16
,159,1000932,2000948,,1,16,1,1,1,1,16
,160,2000948,2000950,,1,2,1,1,1,1,2
,161,2000950,3001001,,1,11,1,1,1,1,11
,162,3001001,3001003,,1,2,1,1,1,1,2
,163,3001003,4001019,,1,16,1,1,1,1,16
,164,1000926,2000942,,1,16,1,1,1,1,16
,165,2000942,2000944,,1,2,1,1,1,1,2
,166,2000944,3000955,,1,11,1,1,1,1,11
,167,3000955,3000957,,1,2,1,1,1,1,2
,168,3000957,4001013,,1,16,1,1,1,1,16
,169,1000922,2000938,,1,16,1,1,1,1,16
,170,2000938,2000940,,1,2,1,1,1,1,2
,171,2000940,3000951,,1,11,1,1,1,1,11
,172,3000951,3000953,,1,2,1,1,1,1,2
,173,3000953,4001009,,1,16,1,1,1,1,16
,174,1000917,2000933,,1,16,1,1,1,1,16
,175,2000933,2000935,,1,2,1,1,1,1,2
,176,2000935,3000946,,1,11,1,1,1,1,11
,177,3000946,3000948,,1,2,1,1,1,1,2
,178,3000948,4001004,,1,16,1,1,1,1,16
